build_year,facades,garden,living_area,locality_name,number_rooms,postal_code,price,property_id,property_type,property_url,state,swimming_pool,terrace,province,property_type_name,state_mapped
2023,4.0,1,175,Orp-Jauche,3,1350.0,499500.0,vbd21690,Residence,https://immovlan.be/en/detail/residence/for-sale/1350/orp-jauche/vbd21690,New,0,,Walloon Brabant,house,ready_to_move_in
,,1,280,Nossegem,7,1930.0,825000.0,rbu66470,Residence,https://immovlan.be/en/detail/residence/for-sale/1930/nossegem/rbu66470,New,0,1,Flemish Brabant,house,ready_to_move_in
2006,3.0,0,101,Wavre,2,1300.0,350000.0,vbd26815,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1300/wavre/vbd26815,Excellent,0,1,Walloon Brabant,apartment,ready_to_move_in
,3.0,1,170,Orp-Jauche,3,1350.0,250000.0,vbd26946,Residence,https://immovlan.be/en/detail/residence/for-sale/1350/orp-jauche/vbd26946,To renovate,0,1,Walloon Brabant,house,to_renovate
1982,4.0,1,166,Zaventem,3,1930.0,549000.0,rbu50398,Residence,https://immovlan.be/en/detail/residence/for-sale/1930/zaventem/rbu50398,To be renovated,0,0,Flemish Brabant,house,to_renovate
1900,,0,70,Wavre,2,1300.0,245000.0,vbd30376,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1300/wavre/vbd30376,,0,0,Walloon Brabant,apartment,
,3.0,1,150,Orp-Jauche,3,1350.0,325000.0,vbd26949,Residence,https://immovlan.be/en/detail/residence/for-sale/1350/orp-jauche/vbd26949,Excellent,0,1,Walloon Brabant,house,ready_to_move_in
,2.0,1,116,Zaventem,3,1930.0,349000.0,rbu60693,Residence,https://immovlan.be/en/detail/residence/for-sale/1930/zaventem/rbu60693,,0,1,Flemish Brabant,house,
1900,,0,75,Wavre,2,1300.0,245000.0,vbd30377,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1300/wavre/vbd30377,,0,0,Walloon Brabant,apartment,
,3.0,1,190,Zaventem,4,1930.0,325000.0,vbd51738,Residence,https://immovlan.be/en/detail/residence/for-sale/1930/zaventem/vbd51738,To be renovated,0,1,Flemish Brabant,house,to_renovate
,3.0,1,175,Orp-Jauche,3,1350.0,375000.0,vbd28155,Residence,https://immovlan.be/en/detail/residence/for-sale/1350/orp-jauche/vbd28155,Excellent,0,1,Walloon Brabant,house,ready_to_move_in
2026,3.0,0,105,Wavre,2,1300.0,468000.0,vbd30842,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1300/wavre/vbd30842,New,0,1,Walloon Brabant,apartment,ready_to_move_in
,2.0,0,116,Zaventem,2,1930.0,349000.0,vwd13101,Residence,https://immovlan.be/en/detail/residence/for-sale/1930/zaventem/vwd13101,Excellent,0,1,Flemish Brabant,house,ready_to_move_in
,4.0,1,160,Orp-Jauche,5,1350.0,439352.0,vbd31757,Residence,https://immovlan.be/en/detail/residence/for-sale/1350/orp-jauche/vbd31757,New,0,,Walloon Brabant,house,ready_to_move_in
2026,3.0,0,114,Wavre,3,1300.0,505000.0,vbd30843,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1300/wavre/vbd30843,New,0,1,Walloon Brabant,apartment,ready_to_move_in
1972,,1,187,Sterrebeek,3,1933.0,599000.0,rbu50263,Residence,https://immovlan.be/en/detail/residence/for-sale/1933/sterrebeek/rbu50263,Normal,0,1,Flemish Brabant,house,ready_to_move_in
,4.0,1,165,Orp-Jauche,3,1350.0,433128.0,vbd31758,Residence,https://immovlan.be/en/detail/residence/for-sale/1350/orp-jauche/vbd31758,New,0,,Walloon Brabant,house,ready_to_move_in
2026,,0,93,Wavre,2,1300.0,405000.0,vbd30845,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1300/wavre/vbd30845,New,0,1,Walloon Brabant,apartment,ready_to_move_in
1965,3.0,1,170,Sterrebeek,4,1933.0,575000.0,rbu52110,Residence,https://immovlan.be/en/detail/residence/for-sale/1933/sterrebeek/rbu52110,Fully renovated,0,1,Flemish Brabant,house,ready_to_move_in
1900,2.0,1,220,Orp-Jauche,4,1350.0,275000.0,vbd34281,Residence,https://immovlan.be/en/detail/residence/for-sale/1350/orp-jauche/vbd34281,To renovate,0,1,Walloon Brabant,house,to_renovate
2026,,0,65,Wavre,1,1300.0,265050.0,vbd30846,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1300/wavre/vbd30846,New,0,1,Walloon Brabant,apartment,ready_to_move_in
1997,,1,611,Sterrebeek,4,1933.0,975000.0,rbu58819,Residence,https://immovlan.be/en/detail/residence/for-sale/1933/sterrebeek/rbu58819,,0,1,Flemish Brabant,house,
